,Amphet,Amyl,Benzos,Cannabis,Coke,Crack,Ecstasy,Heroin,Ketamine,LSD,Meth,Mushrooms,VSA,Alcohol,Caff,Choc,Legalh,Nicotine
neuroticism,0.020111033875491735,0.2651313353095246,0.7587917950478538,0.1873613801202687,0.19106683057297857,0.8103599901650225,0.14548490282368898,0.33801969743339866,0.12136533247011339,0.13818931617851427,0.2613864484826578,0.21074413865238817,0.0736788957564819,0.12092167261493691,0.17554512200371275,0.08825670081722459,0.04307865783014542,0.05306511313314677
extraversion,0.14463996009787694,0.16081810593393275,0.15086461695482312,0.21836485219490065,0.10403861433199113,0.28911843936083026,0.155760058257437,0.1434692191903172,0.07764149708372547,0.10475708380715298,0.2371011085453426,0.1853934878580915,0.017854077479078967,0.3802615594891414,0.26965155007848285,0.1406943411550361,0.06757282376360962,0.009821295988208911
openness,0.1646987714824284,0.2249269401866274,0.1749017086694853,1.058163806389758,0.08709916386441763,0.098471496274395,0.39337273549995566,0.08766178206935926,0.4579766124475464,1.175553991986717,0.32003383574763977,1.009484515045866,0.24724505638279615,0.03989032989772312,0.020524453644413354,0.02814244328815252,0.4761271216387566,0.21296048845432836
agreeableness,0.16431365174188417,0.18319180149400693,0.15586151956727334,0.07543802478685935,0.2720765501239949,0.12228333377996092,0.07239601069677637,0.4416869645457433,0.20706500703010788,0.12308807671132793,0.2007875829485798,0.12984967731523855,0.35722564569101456,0.046439095322644786,0.02716358048478873,0.0289099037463183,0.21648443644176263,0.006944574097016654
conscientiousness,0.3085479537798097,0.19137571552310606,0.09845129932334173,0.3435228809436769,0.00653722868336859,0.01044803603280453,0.23506571530110676,0.20043231921711402,0.29272460250666343,0.26417961996852546,0.12818495380535733,0.16778062652404768,0.0028505314815834293,0.005124102666840269,0.12125884024180333,0.1438862211447881,0.38953672907972525,0.2773790657332973
impulsive,0.45617166538947407,0.149517402513617,0.2778896536726685,0.06744864225513436,0.04339127629063144,0.09711848223208763,0.04148277041582338,0.02978841044921343,0.11853101901950125,0.2896569761943767,0.019749602590376947,0.04966319297965982,0.13369751437436062,0.1338161878805154,0.3445523631006644,0.1478868069313498,0.10378146526721066,0.04799760747086257
sensation,0.4641790646061159,1.9144693781617699,0.4975758689086811,1.2103105147378876,1.1198112923923396,1.1824657505174652,0.6975620436395409,1.0990024692695064,0.5443673272458147,0.9126173823963617,0.5138324158277379,0.7138760826966506,1.112291385333732,0.19206794531009086,0.1273238370652423,0.18037713452620463,0.6904930150548227,0.5582354488861512
F1,0.07692307692307693,0.0,0.11267605633802817,0.6060606060606062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9024745269286754,0.9671232876712329,0.9727520435967303,0.0,0.6058823529411764
