,Amphet,Amyl,Benzos,Cannabis,Coke,Crack,Ecstasy,Heroin,Ketamine,LSD,Meth,Mushrooms,VSA,Alcohol,Caff,Choc,Legalh,Nicotine
neuroticism,0.04615593548471164,0.46290874845613683,0.6475208060405204,0.15965306653234057,0.2500065186093059,0.4923177954731488,0.004589779207533007,0.7288831381175556,0.34276361925109466,0.0906960969516637,0.2365738165919693,0.010795907854610265,0.26750452923339396,0.10547701333490589,0.1656260003820762,0.07226961311263524,0.009166111573207125,0.0605701297897594
extraversion,0.18958563388802419,0.48333573968327315,0.24507662903626304,0.1951931412286746,0.45444285892435654,0.25230248358655727,0.39113688328116925,0.34289058028040376,0.27484467627075293,0.2203708072193442,0.37239911398558523,0.06561422338806677,0.04466704359331963,0.369687842214083,0.23957776408169584,0.17209485184364626,0.21905565275776706,0.011490296299948022
openness,0.2886595984372877,0.19210110735540642,0.1848189449028914,1.018097852922987,0.18810074552252887,0.27200516097731975,0.5488537927859993,0.19514740958486843,1.025440494644128,1.1084317819619653,0.2143545189962368,0.6498935501876177,0.3260167446793434,0.14743792422148572,0.03958905746841568,0.008878943260551497,0.2677851625098795,0.09270504669178159
agreeableness,0.10251037388022066,0.3058956996410491,0.19428528208030593,0.07795038173737934,0.2603636567290194,0.2564934801688382,0.09317999670422361,0.3772408139925386,0.3678494051434442,0.03798216873460469,0.12491063312844974,0.02213967918569293,0.23331490465982063,0.016003203539559196,0.0227560108678323,0.03716614049977984,0.16474159655894383,0.035931098968348785
conscientiousness,0.16504896829761073,0.19158548365440564,0.023399866972017236,0.23684563739945386,0.12690055977836634,0.03932815352319108,0.15847859017637578,0.14116121414777072,0.2839797526845794,0.3315509760682338,0.15265244608609707,0.01341366144301448,0.1616653708431024,0.016394622458696606,0.07954821074841079,0.0040189197817313005,0.33399310130191207,0.2299900964093361
impulsive,0.4812308873407005,0.8772451017643303,0.20601565850938108,0.04712568667563555,0.09555649352060813,0.017801901996854053,0.3551604775275572,0.17727242788447928,0.10278409298731639,0.3207900190956199,0.08489452051737545,0.11657869377099006,0.021574051594130395,0.04788354138868012,0.11684320035258855,0.12674110497266478,0.014724864138594862,0.11299470071427331
sensation,0.244014876297326,1.0114809172568875,0.13538457632719414,0.8856601117328047,1.5291502457020978,1.231845270897168,0.2424773393406754,0.49211958521322297,0.2690395244271113,0.9071526138863322,0.43041302942534565,1.24006942334286,1.1144005619131607,0.2146129690735803,0.0099047761131279,0.21087273167998422,0.5363598542443244,0.4585261103621008
F1,0.0,0.0,0.0,0.49074074074074064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8025477707006369,0.9365303244005642,0.8829629629629631,0.0,0.5342960288808665
