,Amphet,Amyl,Benzos,Cannabis,Coke,Crack,Ecstasy,Heroin,Ketamine,LSD,Meth,Mushrooms,VSA,Alcohol,Caff,Choc,Legalh,Nicotine
neuroticism,0.07128470354487226,0.09564724792602797,0.4097573296712067,0.026945048457965193,0.18145720935355825,0.07074670302764563,0.019413514316603653,0.3243119434309467,0.009132750964302883,0.16750523827741437,0.14631466091571577,0.16282869454384863,0.11509816817620133,0.06249341094058192,0.08293134757728737,0.16423285585519842,0.014089592534096251,0.12711026256460056
extraversion,0.16060688734103568,0.22540142945341257,0.12031613287829623,0.2567448332136182,0.09505131033107928,0.14053872784798016,0.04477039548665196,0.218772240381372,0.038901452053459074,0.2871512554489771,0.26299625349040046,0.1921909207308644,0.1753276940434333,0.055686368033194045,0.3407207176498561,0.1497917478395926,0.22607441364153424,0.055664237442379694
openness,0.38569091796104416,0.009122281296808588,0.4736699218820566,1.0059799263985867,0.26139205649086183,0.1712660603858016,0.5427310072808227,0.5078283452216998,0.42113047404848425,1.0289635944643019,0.5782918211822008,1.0075228217075947,0.27579222061293107,0.11423257304027845,0.4305878789038582,0.5606265167742699,0.9068508772988784,0.36467200699612023
agreeableness,0.06630250575524854,0.02089775860328369,0.13942293579563192,0.10533084260286685,0.160611589986982,0.0855960453960477,0.12152647895605317,0.2933174871217723,0.08964326253329091,0.1094582988499595,0.20059827967799237,0.10920703321948233,0.11350476029863033,0.14109710260820096,0.16260639220447604,0.011925728239299271,0.01165640075993668,0.1548922401137064
conscientiousness,0.22076918440159599,0.213315643442902,0.1276772265306807,0.3403082851929755,0.22896035443142748,0.17256295048586123,0.282518111598941,0.03704669025827356,0.24675575827818086,0.1646047132230729,0.17013683481228303,0.22485248593790286,0.29925652095859634,0.21958441476220203,0.3320903731505427,0.3068270780691128,0.3014319674153022,0.2198325169698555
impulsive,0.014690690072060586,0.09146859649966277,0.08668071679630485,0.06362164413410354,0.012975504967868146,0.20320832379405984,0.10594936707477098,0.1940881023621639,0.04788653395177911,0.052708082841189996,0.050816549070528794,0.024974608541351584,0.020392680130748464,0.12643724099642584,0.023173018301800963,0.25596668241139575,0.1639607932125341,0.014625678639469286
sensation,1.107149780156003,0.5927641783850262,0.3807633330414719,1.1967063736476913,0.7919754283385732,0.5065005963437181,1.2377386531587926,0.7513361358517747,0.6940700530375796,1.2397739825102438,0.5438602762078171,0.828975180958502,1.1745408272495776,0.8233649195863684,0.34192987338806424,0.06964211368204631,1.5242499669998684,0.7164912091275373
F1,0.46288209606986896,0.0,0.5267175572519084,0.8465804066543438,0.46696035242290757,0.0,0.632996632996633,0.0,0.07692307692307691,0.49729729729729716,0.22429906542056072,0.5882352941176471,0.0,0.981081081081081,0.9906291834002677,0.9906291834002677,0.6711864406779661,0.7964285714285714
